word,bias_C1,bias_C2,bias_C3,bias_C4,bias_C5,bias_C6,bias_C7,bias_C8,bias_C9,bias_C10,bias_C11,bias_C12,bias_C13,bias_C14,bias_C15
nationality,0.9127840100000001,4.911744426,1.4322388259499998,4.42267848625,1.1072921945,-11.4795168875,-8.0212713125,-3.335892532,0.9202313811,-2.8115903245,4.986426340125,-2.886551795,-2.410385726,-3.10765943375,-3.15434686675
diabetes,1.6857800582499998,1.3553572925,1.7225374515,-3.6027339114999997,-1.194100593,-2.0670807809999996,-2.7455472700000003,2.6062417305,2.062513534,7.3771507199999995,-3.339956141,3.8088221515000003,-1.403869299,1.110322215,-7.0865425975
accessories,-0.08667945333333332,2.9250687770833337,-0.91321883125,1.69012413165625,-5.395310402708333,0.6855508760416665,-0.9463950948333334,0.4463415947020833,0.8965650941666666,-1.3824876495833334,-2.5027515836666665,-0.17581771729166665,0.5505628066875,1.8736031422916666,2.30718964125
competitiveness,1.6028805959130434,0.698155741652174,-5.12194580326087,-7.682581169565218,4.845254315217391,1.0121067432608695,2.0719503904347825,2.2526368672608696,-2.0345175820869565,2.9977840476086954,-0.713453677173913,-5.443204167652174,2.0696131077130433,-2.7917948233043477,-3.867528646304348
outlets,-5.767283188492064,-3.3949806679206347,6.959887437015873,1.7250550392857145,-5.064446626507936,-5.521853544206349,-7.044948015873016,-0.6492929896666666,-3.0197977136507936,-0.7993909303470634,-4.94309405420635,2.377210688730159,0.4313233317222222,2.691923872222222,1.7293494203492066
utility,-8.580162766659091,5.6766156989772725,5.065438978318182,-0.2787784071818181,-7.539042926863637,-4.631071852727272,-1.9771814771136365,-5.692067797045454,1.3069715843181817,-8.152285473318182,-1.1799181270454544,-3.1722875948636364,-6.872994711818182,2.325936006681818,6.03062315859091
famines,0.01825504166666647,0.5395982999999999,-1.2078962950000003,-0.8425642066666666,-0.71023363,3.15739588,8.056437916666667,-0.7422059833333337,-1.616229165,-2.518972763333333,1.50028734,-2.862600183333333,7.325622883333333,9.697111183333332,-0.8891587933333334
superintendents,-2.2836377714285714,-3.4088365900000004,-5.250058862857143,-0.7019299785714286,1.3102634185714288,0.9149461599999997,-7.583330342857143,-3.590291205714286,-5.135185645,-4.437927928571428,-1.3299583114285716,-0.20148791714285696,-0.5774372357142856,5.828261985714286,5.908829850857143
perspectives,-1.9864585282586205,5.259561056531035,-1.6644824215489655,-5.500755115275862,-2.440342203224138,-9.677545520689655,3.879398715468965,3.071139769465517,4.355180648724138,2.3402718227275865,-1.285482007051724,2.9006008055,1.6817778926724138,-2.578484165155172,-0.42770610715172414
rapeseed,-5.680505374999999,3.914534075,-3.0845955849999998,-6.1170115,-5.8816033,0.23682648000000017,8.701774775,2.3322966175,7.1959580675,-7.331941975,2.16113795,1.6341895750000002,4.311833235,-7.22409128,-3.23165489425
salaries,2.1004587,5.18901935842857,-4.065238432857143,1.9361324471428571,5.918988252857142,-0.951576621,4.667151935714285,-3.0467486328571427,-5.322417368571429,-0.5708366671428571,8.03383255,5.271915085714286,4.57537819,6.510386625285714,-1.8686779657142856
fanaticism,5.724265566666666,7.6845023,-0.38390187000000003,1.8530588000000001,-3.640829413333333,0.4809739000000004,0.9235781999999997,-0.6380476733333333,1.8044414566666667,4.347854266666667,3.9730391666666667,-1.16466828,2.25833156,3.1262044666666666,-0.7778434276666666
compression,-1.3943492800000001,0.644981745,-1.0739111458461539,3.4190872,2.933110776923077,2.278727061538462,1.2419042623076924,-3.1219846746153843,-2.4133566046153847,-1.3625185964615385,0.7172413030769231,-0.9501771476923077,-0.4462616243076924,1.843570936923077,1.992183896153846
dodgers,-3.2623473941666665,-1.4109597883333334,-0.29487873333333336,-3.105496664166666,4.231979298333334,1.5031170464166665,7.079442834166667,6.0792533833333335,-1.736923488,0.6359995508333334,1.1512799891666667,2.3526179475,-0.2618294916666667,-4.026964473333333,1.5089448699999999
urbanization,-3.5525736541176474,0.9231423117647058,1.6700773211764706,-0.4849466029411764,-0.5410835675882353,-1.0889030447058823,1.7177899429411765,-3.0574949705882353,-1.132636927470588,-2.3027767611764705,0.000788946470588228,0.4755810964705883,0.060008545882352965,1.0506295125882354,0.3769267145882353
catholics,5.161749324078947,9.883222234210525,2.3207150985526317,4.61519691781579,-9.123226686315789,-10.998883947368421,-2.038736438157895,-1.0211327270000001,5.187772510131579,5.475004693947369,0.5744555364736842,-4.929589692631579,0.545846778105263,-8.546727182894738,-2.9106100576315788
brilliance,7.6547141,-2.92712464,-10.721626385714284,0.16269004142857146,-6.676425500000001,-1.8402414314285716,0.22417898642857126,3.8998226114285712,10.627682935714287,0.8294943942857144,2.1093162328571426,2.007363565714286,-3.617095057142857,-0.015066914285714272,3.0157827871428573
fascism,-0.9250761512857143,-5.740338545267857,-4.017943669839285,7.5788034674821425,1.0606375114285715,-0.9321420850892856,4.4017290155357145,-4.1102819685,2.3628863088989465,-0.3952946900089286,-3.0635281117857143,-6.806968449107143,-3.579039328214286,-2.2904665684107144,-7.503624095667857
comedians,-5.764575826952381,1.8945462647619045,5.8700237699999995,-3.1852265445238093,7.603407604761905,0.5103330047619048,0.5700753485714286,3.2870068945714284,-4.078944046190476,-4.516859434761905,1.8789722999999998,7.440098979666667,3.460388249047619,4.105454468057143,4.466557803809524
bakeries,4.584626592,3.3060026199999997,4.4644723,1.894071668,3.512773254,-0.523077076,2.54055816,0.5552664920000001,-2.3497244979999996,-1.22791672,-1.017150988,0.5626126279999999,1.809917246,-1.1933818200000001,2.03281308
