condition,layer,mode,term,n,estimate,se,t,p,ci_lo,ci_hi
attn_zeroed,5,mean_pooled,log_freq:model_size125,146850,-0.021009259163059325,0.020849764494512642,-1.0076497107959497,0.313624315620534,-0.06187438349003078,0.019855865163912127
attn_zeroed,5,mean_pooled,log_freq:model_size1300,146850,-0.0772482361711385,0.020849764494481553,-3.7049932238603613,2.1147386637769268e-4,-0.11811336049804902,-0.03638311184422798
attn_zeroed,5,words_only,log_freq,146850,-0.08705036912575632,0.014488055673907213,-6.008423151115634,1.8777525433721567e-9,-0.11544667050969393,-0.05865406774181872
attn_zeroed,5,words_only,model_size125,146850,0.07912209938220219,0.0142906390744907,5.536638282569039,3.088578316502747e-8,0.05111273061237094,0.10713146815203343
attn_zeroed,5,words_only,model_size1300,146850,1.3821325720763022,0.014290639074509759,96.7159386553688,0,1.3541232033064337,1.4101419408461708
attn_zeroed,5,words_only,log_freq:model_size125,146850,0.009270286640645473,0.02048920482649125,0.4524473604099841,0.6509474032583373,-0.030888147897821964,0.049428721179112914
attn_zeroed,5,words_only,log_freq:model_size1300,146850,-0.04134518401754737,0.0204892048264607,-2.0179008589026504,0.04360340265155902,-0.08150361855595492,-0.001186749479139819
attn_zeroed,6,individual,log_freq,146850,-0.08707379895712002,0.014269854293060925,-6.101940297979205,1.0504926334376312e-9,-0.1150424299681406,-0.059105167946099435
attn_zeroed,6,individual,model_size125,146850,0.04159140106064318,0.014075410941094876,2.954897816816987,0.0031282225613323083,0.014003875157775594,0.06917892696351076
attn_zeroed,6,individual,model_size1300,146850,1.4162889348338625,0.014075410941113649,100.6214980691573,0,1.3887014089309582,1.443876460736767
attn_zeroed,6,individual,log_freq:model_size125,146850,0.007106331729205786,0.020180621474369363,0.3521364165237065,0.7247364641377418,-0.03244728556765619,0.046659949026067765
attn_zeroed,6,individual,log_freq:model_size1300,146850,-0.03794205198346575,0.02018062147433927,-1.8801230691389303,0.06009328495399574,-0.07749566928026874,0.0016115653133372404
attn_zeroed,6,mean_pooled,log_freq,146850,-0.04712221226481804,0.014733332299255258,-3.198340423449214,0.00138250319756906,-0.07599925096317403,-0.018245173566462044
attn_zeroed,6,mean_pooled,model_size125,146850,0.017470716634726942,0.014532573520709781,1.202176380517197,0.22929713697936982,-0.011012838844806555,0.04595427211426044
attn_zeroed,6,mean_pooled,model_size1300,146850,1.3145444246051081,0.014532573520729163,90.45503349630752,0,1.2860608691255366,1.3430279800846796
attn_zeroed,6,mean_pooled,log_freq:model_size125,146850,-0.01807157087676892,0.020836078356592153,-0.8673211228854593,0.3857675035349474,-0.05890987064522682,0.022766728891688983
attn_zeroed,6,mean_pooled,log_freq:model_size1300,146850,-0.06845223044815504,0.020836078356561084,-3.2852741901212945,0.0010190702644717845,-0.10929053021655205,-0.02761393067975803
attn_zeroed,6,words_only,log_freq,146850,-0.0838379146992009,0.014258610300629766,-5.879809668092128,4.116228987271176e-9,-0.11178450770836532,-0.0558913216900365
attn_zeroed,6,words_only,model_size125,146850,0.09865737764195429,0.014064320161130565,7.014727801391552,2.3138696202537102e-12,0.0710915894475507,0.12622316583635787
attn_zeroed,6,words_only,model_size1300,146850,1.3886125166763748,0.014064320161149323,98.73299958800843,0,1.3610467284819343,1.4161783048708152
attn_zeroed,6,words_only,log_freq:model_size125,146850,0.01215878230501686,0.020164720067777968,0.60297302735414,0.5465275640650026,-0.02736366855073246,0.05168123316076618
attn_zeroed,6,words_only,log_freq:model_size1300,146850,-0.07533151929467075,0.0201647200677479,-3.735807838719189,1.8718426889700575e-4,-0.11485397015036114,-0.03580906843898036
attn_zeroed,7,individual,log_freq,146850,-0.07778897894595273,0.01431169989541975,-5.435341679491753,5.4778280076612806e-8,-0.10583962650653099,-0.049738331385374465
attn_zeroed,7,individual,model_size125,146850,0.0596275636901049,0.014116686348480395,4.223906532889963,2.4024811641474904e-5,0.03195913880850307,0.08729598857170673
attn_zeroed,7,individual,model_size1300,146850,1.3566015614600424,0.014116686348499224,96.09915018082594,0,1.3289331365784036,1.3842699863416812
attn_zeroed,7,individual,log_freq:model_size125,146850,0.010963983701193373,0.020239800092750983,0.5417041497914891,0.5880231524246918,-0.02870562251239233,0.05063358991477907
attn_zeroed,7,individual,log_freq:model_size1300,146850,-0.04425024751122709,0.020239800092720802,-2.186298644675922,0.028795336188576513,-0.08391985372475363,-0.004580641297700541
