model,condition,n,r2_probe,r2_behav,beta2_probe,beta2_probe_lo,beta2_probe_hi,beta2_behav,beta2_behav_lo,beta2_behav_hi
meta-llama_Llama-3.2-1B,attn_zeroed,48950,0.35211070242405673,0.0916641437301202,0.018033097214606775,0.0038241288856731004,0.03224206554354045,0.02782931306827252,0.010180179450264962,0.04547844668628008
meta-llama_Llama-3.2-1B,default,48950,0.4161737413206964,0.1485211370341314,0.02407671202211411,0.008959776931260011,0.03919364711296821,0.07277071979163226,0.05344538083149309,0.09209605875177143
meta-llama_Meta-Llama-3-8B,attn_zeroed,48950,0.4553087071135456,0.08602045249772634,0.015084160355660778,0.0011209993134051448,0.02904732139791641,0.031170126870020548,0.011933504491406108,0.05040674924863499
meta-llama_Meta-Llama-3-8B,default,48950,0.5313886637785566,0.13893263033744688,0.03133732478886418,0.016363808446154048,0.04631084113157431,0.07956334769036869,0.05766968145127492,0.10145701392946245
znhoughton_opt-babylm-1.3b-20eps-seed964_step1455,attn_zeroed,48950,0.24019962534419878,0.11525939524893875,-0.0020379691052711812,-0.015041784815531782,0.01096584660498942,-0.015801042887243294,-0.030650604189519138,-0.00095148158496745
znhoughton_opt-babylm-1.3b-20eps-seed964_step1455,default,48950,0.2562695973021192,0.11663325544394484,-0.0022423126456701976,-0.015969097663335076,0.01148447237199468,-0.009840144431551831,-0.025439455881039623,0.0057591670179359625
znhoughton_opt-babylm-1.3b-20eps-seed964_step194,attn_zeroed,48950,0.5262641462290728,0.0413445561007843,-0.003261052382612984,-0.013575444842013435,0.007053340076787469,-0.014707331265057933,-0.03274165467898342,0.003326992148867553
znhoughton_opt-babylm-1.3b-20eps-seed964_step194,default,48950,0.31221263827679036,0.040294461562714545,-0.006801576713406169,-0.019656943323587542,0.006053789896775201,-0.014672187068023913,-0.03230546617237874,0.0029610920363309125
znhoughton_opt-babylm-1.3b-20eps-seed964_step3686,attn_zeroed,48950,0.16967074537936008,0.1509804171674695,0.014823659817173374,-0.0005140494091254444,0.03016136904347219,0.005901803504516273,-0.009791135726432688,0.021594742735465234
znhoughton_opt-babylm-1.3b-20eps-seed964_step3686,default,48950,0.19766341000385884,0.1546244565158586,0.05996938494727083,0.043539742857975045,0.07639902703656662,0.06068082181376132,0.043744168012231924,0.07761747561529071
znhoughton_opt-babylm-1.3b-20eps-seed964_step582,attn_zeroed,48950,0.345351614496373,0.06407670113886128,0.006984305999610724,-0.005075752720099339,0.019044364719320785,-0.013911124908731795,-0.030292320113197668,0.0024700702957340774
znhoughton_opt-babylm-1.3b-20eps-seed964_step582,default,48950,0.3035835287088995,0.07379604755072748,-0.0036941211221430924,-0.016175131782979246,0.008786889538693063,-0.013912743608050261,-0.029686404614876555,0.0018609173987760332
znhoughton_opt-babylm-1.3b-20eps-seed964_step9021,attn_zeroed,48950,0.11457973585877324,0.13548065728851433,0.02095777988538669,0.00010958863041782285,0.04180597114035556,0.005322395694478982,-0.015382664655789215,0.02602745604474718
znhoughton_opt-babylm-1.3b-20eps-seed964_step9021,default,48950,0.1638434191555367,0.1556726686770112,0.09353571706105415,0.07032293854662106,0.11674849557548725,0.08374489961560835,0.06023097268442129,0.10725882654679542
